,Date,PM2.5,PM10,NO2,SO2,CO,Ozone,NH3,PM2.5_SI,PM10_SI,NO2_SI,SO2_SI,CO_SI,Ozone_SI,NH3_SI,AQI,AQI_Category
189,2021-07-09,17.497187301587303,37.19545579163811,14.152794990112064,12.364370370370372,1.0504620253164556,11.80094537815126,14.588113074204948,29.16197883597884,37.19545579163811,17.690993737640078,15.455462962962965,,11.80094537815126,3.647028268551237,37.19545579163811,Good
190,2021-07-10,28.729360248447204,59.3104848910752,17.793872310895214,12.388555555555556,0.9126304945054945,17.18480286738351,29.90047619047619,47.88226708074534,59.3104848910752,22.242340388619017,15.485694444444444,45.63152472527472,17.18480286738351,7.475119047619048,59.3104848910752,Satisfactory
191,2021-07-11,55.345495110024444,107.67912291933419,21.462800546448086,15.750412844036697,0.8513355704697987,26.756210995542347,17.488593856655292,92.13549173762752,105.43780650345023,26.828500683060106,19.68801605504587,42.56677852348994,26.756210995542347,4.372148464163823,105.43780650345023,Moderate
192,2021-07-12,88.36204000000001,180.23589804386486,28.400833333333335,14.240842255531762,1.0758550185873605,23.137395626242547,15.883524590163935,194.4083434482759,153.6466705123666,35.501041666666666,17.801052819414704,,23.137395626242547,3.9708811475409838,194.4083434482759,Moderate
193,2021-07-13,22.221813870776526,50.493041474654376,13.310911722141824,11.092740676496097,0.5272818581293158,17.739421654337594,13.158864027538726,37.03635645129421,,16.63863965267728,13.865925845620122,26.364092906465793,17.739421654337594,3.2897160068846816,37.03635645129421,Good
194,2021-07-14,14.790491702519976,32.059035667107,15.470578257517348,11.34473154362416,0.5064312977099237,17.578310901749663,16.008840206185567,24.650819504199962,32.059035667107,19.338222821896686,14.180914429530201,25.321564885496183,17.578310901749663,4.002210051546392,32.059035667107,Good
195,2021-07-15,14.281261146496817,32.61786046511628,13.508073248407642,9.61202737382378,0.48381552753815527,19.32664985590778,16.468701964133217,23.80210191082803,32.61786046511628,16.885091560509554,12.015034217279725,24.190776376907763,19.32664985590778,4.117175491033304,32.61786046511628,Good
196,2021-07-16,20.998016688061618,38.34686274509804,12.129713855421686,12.176826771653543,0.46867268041237115,17.883848750844024,14.761048387096775,34.9966944801027,38.34686274509804,15.162142319277107,15.22103346456693,23.43363402061856,17.883848750844024,3.6902620967741937,38.34686274509804,Good
197,2021-07-17,13.044817891373802,30.678771374287525,13.754996203492787,13.281356707317073,0.4751293661060802,19.16976551724138,16.207756059421424,21.74136315228967,30.678771374287525,17.193745254365986,16.60169588414634,23.75646830530401,19.16976551724138,4.051939014855356,30.678771374287525,Good
198,2021-07-18,18.151869290231904,44.69199852507374,14.228412698412699,11.244129089301504,0.5453713049747656,20.606822157434404,10.021050096339113,30.253115483719842,44.69199852507374,17.785515873015875,14.05516136162688,27.26856524873828,20.606822157434404,2.5052625240847783,44.69199852507374,Good
199,2021-07-19,19.360977175463624,47.33904617713853,14.641404541631625,11.036835680751173,0.40506686478454684,18.8622949586155,11.868877551020407,32.268295292439376,47.33904617713853,18.30175567703953,13.796044600938966,20.25334323922734,18.8622949586155,2.967219387755102,47.33904617713853,Good
200,2021-07-20,22.215419161676646,57.3605192761605,12.99357586512866,10.802126789366053,0.43803767660910514,19.581528662420382,15.751253701875617,37.025698602794414,57.3605192761605,16.241969831410824,13.502658486707567,21.901883830455258,19.581528662420382,3.9378134254689043,57.3605192761605,Satisfactory
201,2021-07-21,21.796487068965515,52.06607116382506,12.998465152701645,10.772016651248842,0.39391623806024983,18.174851411589895,17.887743026204564,36.32747844827586,52.06607116382506,16.248081440877055,13.465020814061052,19.69581190301249,18.174851411589895,4.471935756551141,52.06607116382506,Satisfactory
202,2021-07-22,28.553266619013577,64.71739795918367,10.952061128526646,11.978163636363636,0.42298013245033117,18.353318518518517,11.348453085376162,47.58877769835596,64.71739795918367,13.690076410658307,14.972704545454544,21.14900662251656,18.353318518518517,2.8371132713440406,64.71739795918367,Satisfactory
203,2021-07-23,26.196351648351644,59.51158093797277,13.713492063492064,11.399565217391304,0.5168290796597061,20.54153498871332,9.781169389509888,43.66058608058608,59.51158093797277,17.14186507936508,14.24945652173913,25.841453982985307,20.54153498871332,2.445292347377472,59.51158093797277,Satisfactory
204,2021-07-24,22.035661764705882,59.149775193798455,14.247075098814229,10.205522682445759,0.5108408408408409,20.382133828996285,10.093504633529907,36.72610294117647,59.149775193798455,17.808843873517787,12.756903353057199,25.542042042042045,20.382133828996285,2.5233761583824768,59.149775193798455,Satisfactory
205,2021-07-25,23.17225806451613,59.68839259259259,12.142975338106602,10.058689915174364,0.5004942965779468,19.15515578635015,10.124547085201794,38.620430107526886,59.68839259259259,15.178719172633253,12.573362393967955,25.024714828897338,19.15515578635015,2.5311367713004485,59.68839259259259,Satisfactory
206,2021-07-26,23.149012527634486,62.91176515732924,11.326493083807975,9.51647001934236,0.5172494172494173,21.13905982905983,11.752705357142858,38.58168754605748,62.91176515732924,14.158116354759969,11.895587524177952,25.862470862470865,21.13905982905983,2.9381763392857145,62.91176515732924,Satisfactory
207,2021-07-27,22.38818875780708,56.07087818696884,13.150007215007214,10.661980968858131,0.40539202200825314,24.111877230549606,10.719106145251397,37.31364792967847,56.07087818696884,16.437509018759016,13.327476211072664,20.269601100412658,24.111877230549606,2.679776536312849,56.07087818696884,Satisfactory
208,2021-07-28,20.067588797814206,57.54566690699351,12.85781575037147,10.869481346678798,0.4317184115523465,28.225695167286244,10.908301435406699,33.44598132969035,57.54566690699351,16.072269687964337,13.586851683348497,21.585920577617326,28.225695167286244,2.7270753588516747,57.54566690699351,Satisfactory
209,2021-07-29,22.707470588235296,57.408096234309625,13.7074034620506,12.872759515570934,0.38160631994733374,26.40836338418863,10.240589050589051,37.845784313725495,57.408096234309625,17.134254327563248,16.090949394463667,19.080315997366686,26.40836338418863,2.560147262647263,57.408096234309625,Satisfactory
210,2021-07-30,20.854681902408895,61.75804289544236,12.380578297595841,13.213487099296325,0.38812342569269526,23.11990243902439,14.186293614219881,34.75780317068149,61.75804289544236,15.475722871994801,16.516858874120405,19.406171284634762,23.11990243902439,3.5465734035549703,61.75804289544236,Satisfactory
211,2021-07-31,21.718711374095992,58.659936974789915,14.273511659807955,12.922976639035419,0.39819269521410583,20.367945392491468,15.942523680649526,36.197852290159986,58.659936974789915,17.841889574759943,16.153720798794275,19.90963476070529,20.367945392491468,3.9856309201623814,58.659936974789915,Satisfactory
212,2021-08-01,127.64129139072848,223.46295484727756,37.05588967971531,13.485298752462246,1.169077201447527,18.43716267339218,28.603485424588087,306.09680502079163,182.36800355624484,46.31986209964413,16.856623440577806,54.760869856587576,18.43716267339218,7.150871356147022,306.09680502079163,Very Poor
